full_name,Party,is_female,business,immigration,counter terrorism,syria,private housing,banking,tribunal,bbc,police force,parliamentary terms,secretary of state terms,local authority,domestic violence,airport and rail expansion,scotland,parliamentary terms+,single market (?),drugs and alcohol,middle east,care quality commission,speaker of the house,nhs,farming,law,development & climate change,fishing industry,inquiries & reports,northern ireland,construction,animal welfare,fraud terminology,legislation,bill terminology,regional stuff,elections,local services,energy,welfare reforms,european union,education,money-related terms,pensioner income,child poverty,sports & culture,investment,armed forces,economy,house of lords,employee's rights,nuclear weapons,parliamentary terms++,child care
Nick Hawkins,Conservative,0,0.010,0.005,0.018,0.000,0.008,0.005,0.004,0.004,0.023,0.043,0.034,0.010,0.037,0.006,0.004,0.025,0.004,0.019,0.009,0.009,0.032,0.004,0.004,0.017,0.002,0.005,0.012,0.013,0.016,0.006,0.013,0.041,0.120,0.006,0.028,0.012,0.003,0.004,0.014,0.016,0.008,0.010,0.002,0.033,0.009,0.012,0.004,0.019,0.010,0.001,0.094,0.008
John Hayes,Conservative,0,0.016,0.006,0.011,0.001,0.017,0.005,0.004,0.001,0.007,0.038,0.012,0.011,0.002,0.005,0.005,0.014,0.006,0.003,0.007,0.018,0.052,0.006,0.015,0.001,0.005,0.021,0.011,0.012,0.026,0.005,0.008,0.059,0.066,0.022,0.008,0.041,0.022,0.016,0.015,0.107,0.011,0.013,0.006,0.010,0.030,0.002,0.008,0.015,0.006,0.001,0.080,0.010
Oliver Heald,Conservative,0,0.015,0.005,0.012,0.000,0.021,0.004,0.012,0.003,0.022,0.031,0.021,0.010,0.041,0.004,0.010,0.026,0.005,0.005,0.004,0.014,0.026,0.012,0.002,0.020,0.001,0.029,0.036,0.012,0.011,0.005,0.025,0.061,0.070,0.008,0.025,0.022,0.005,0.027,0.013,0.012,0.017,0.043,0.005,0.006,0.006,0.007,0.005,0.029,0.021,0.001,0.045,0.010
Edward Heath,Conservative,0,0.005,0.006,0.003,0.001,0.007,0.018,0.008,0.003,0.002,0.074,0.025,0.005,0.009,0.003,0.005,0.016,0.006,0.002,0.051,0.003,0.032,0.003,0.004,0.001,0.001,0.007,0.053,0.030,0.013,0.003,0.012,0.053,0.024,0.007,0.005,0.016,0.024,0.005,0.120,0.004,0.018,0.027,0.001,0.004,0.028,0.018,0.037,0.033,0.030,0.003,0.044,0.001
David Heathcoat-Amory,Conservative,0,0.018,0.003,0.003,0.000,0.013,0.015,0.006,0.001,0.007,0.019,0.019,0.009,0.006,0.004,0.007,0.037,0.004,0.014,0.008,0.006,0.019,0.005,0.010,0.002,0.005,0.021,0.012,0.010,0.012,0.007,0.018,0.080,0.037,0.005,0.010,0.016,0.051,0.003,0.102,0.001,0.054,0.048,0.000,0.005,0.032,0.005,0.042,0.019,0.010,0.002,0.031,0.001
Michael Heseltine,Conservative,0,0.012,0.003,0.001,0.000,0.031,0.017,0.011,0.002,0.002,0.063,0.031,0.051,0.002,0.010,0.003,0.020,0.002,0.002,0.009,0.004,0.032,0.003,0.003,0.000,0.001,0.007,0.024,0.014,0.039,0.004,0.012,0.060,0.025,0.009,0.004,0.039,0.028,0.003,0.026,0.006,0.045,0.026,0.001,0.003,0.077,0.039,0.013,0.018,0.026,0.005,0.043,0.001
Douglas Hogg,Conservative,0,0.004,0.004,0.012,0.000,0.005,0.002,0.014,0.002,0.024,0.064,0.011,0.010,0.054,0.001,0.004,0.051,0.004,0.007,0.045,0.006,0.055,0.003,0.016,0.004,0.001,0.006,0.014,0.019,0.006,0.013,0.015,0.137,0.050,0.004,0.008,0.013,0.012,0.002,0.031,0.002,0.014,0.006,0.000,0.003,0.006,0.016,0.002,0.034,0.007,0.003,0.072,0.003
John Horam,Conservative,0,0.009,0.004,0.001,0.001,0.011,0.007,0.010,0.002,0.011,0.037,0.013,0.024,0.002,0.014,0.004,0.023,0.004,0.011,0.004,0.012,0.047,0.060,0.003,0.001,0.002,0.006,0.014,0.004,0.053,0.016,0.009,0.051,0.032,0.027,0.004,0.034,0.009,0.005,0.014,0.005,0.040,0.047,0.002,0.003,0.051,0.002,0.023,0.006,0.011,0.001,0.045,0.004
Michael Howard,Conservative,0,0.011,0.008,0.023,0.000,0.015,0.008,0.013,0.001,0.034,0.050,0.025,0.019,0.044,0.001,0.003,0.045,0.003,0.004,0.024,0.005,0.020,0.010,0.001,0.001,0.005,0.009,0.023,0.016,0.009,0.007,0.026,0.084,0.031,0.003,0.008,0.039,0.008,0.018,0.044,0.017,0.030,0.021,0.001,0.003,0.015,0.015,0.021,0.015,0.017,0.001,0.042,0.003
Gerald Howarth,Conservative,0,0.007,0.014,0.005,0.001,0.006,0.011,0.004,0.009,0.009,0.037,0.026,0.005,0.017,0.011,0.007,0.010,0.005,0.004,0.031,0.003,0.028,0.004,0.002,0.001,0.002,0.011,0.014,0.018,0.010,0.005,0.009,0.057,0.037,0.002,0.007,0.005,0.012,0.009,0.027,0.009,0.019,0.008,0.001,0.013,0.016,0.145,0.008,0.029,0.012,0.002,0.105,0.015
Andrew Hunter,Conservative,0,0.011,0.005,0.029,0.001,0.010,0.003,0.008,0.002,0.010,0.026,0.020,0.014,0.026,0.002,0.005,0.057,0.005,0.016,0.020,0.003,0.033,0.005,0.016,0.007,0.001,0.007,0.006,0.128,0.018,0.010,0.015,0.121,0.053,0.008,0.001,0.014,0.016,0.001,0.015,0.005,0.017,0.006,0.001,0.006,0.018,0.015,0.004,0.004,0.015,0.002,0.053,0.001
Michael Jack,Conservative,0,0.014,0.002,0.003,0.000,0.015,0.009,0.005,0.002,0.010,0.043,0.031,0.009,0.010,0.003,0.007,0.018,0.005,0.004,0.005,0.014,0.033,0.014,0.044,0.001,0.008,0.050,0.016,0.002,0.023,0.005,0.009,0.033,0.037,0.006,0.002,0.025,0.043,0.008,0.032,0.009,0.041,0.037,0.001,0.004,0.039,0.035,0.027,0.006,0.017,0.001,0.060,0.011
Robert Jackson,Conservative,0,0.016,0.004,0.001,0.000,0.004,0.009,0.007,0.003,0.002,0.031,0.006,0.022,0.002,0.001,0.010,0.012,0.006,0.002,0.008,0.019,0.024,0.005,0.011,0.001,0.001,0.015,0.007,0.014,0.020,0.006,0.004,0.062,0.025,0.006,0.005,0.071,0.012,0.016,0.080,0.091,0.033,0.018,0.001,0.005,0.069,0.011,0.009,0.015,0.014,0.004,0.065,0.003
Bernard Jenkin,Conservative,0,0.009,0.004,0.003,0.001,0.010,0.008,0.004,0.002,0.004,0.020,0.033,0.010,0.007,0.006,0.015,0.018,0.007,0.003,0.045,0.003,0.019,0.011,0.003,0.001,0.002,0.010,0.021,0.024,0.011,0.004,0.020,0.080,0.033,0.010,0.030,0.017,0.007,0.005,0.079,0.005,0.016,0.015,0.001,0.005,0.045,0.076,0.011,0.039,0.007,0.003,0.046,0.004
Geoffrey Johnson Smith,Conservative,0,0.006,0.008,0.002,0.000,0.026,0.006,0.007,0.040,0.006,0.031,0.012,0.009,0.005,0.016,0.001,0.007,0.009,0.005,0.028,0.007,0.018,0.028,0.010,0.001,0.001,0.011,0.012,0.015,0.035,0.009,0.017,0.050,0.013,0.011,0.002,0.016,0.029,0.007,0.047,0.021,0.018,0.018,0.001,0.013,0.021,0.120,0.004,0.008,0.015,0.006,0.092,0.006
Robert Key,Conservative,0,0.007,0.006,0.003,0.001,0.017,0.004,0.007,0.010,0.019,0.021,0.025,0.027,0.012,0.009,0.002,0.021,0.008,0.012,0.017,0.008,0.010,0.007,0.011,0.002,0.003,0.005,0.010,0.007,0.041,0.013,0.012,0.044,0.031,0.021,0.007,0.036,0.019,0.006,0.026,0.025,0.019,0.007,0.001,0.043,0.010,0.122,0.003,0.009,0.009,0.002,0.054,0.011
Tom King,Conservative,0,0.004,0.003,0.010,0.000,0.006,0.006,0.006,0.003,0.009,0.073,0.025,0.027,0.013,0.002,0.002,0.025,0.004,0.002,0.035,0.005,0.049,0.002,0.008,0.001,0.001,0.006,0.025,0.068,0.022,0.009,0.017,0.046,0.030,0.006,0.006,0.032,0.023,0.019,0.020,0.008,0.019,0.012,0.000,0.003,0.023,0.081,0.008,0.012,0.030,0.004,0.070,0.001
Andrew Lansley,Conservative,0,0.022,0.003,0.005,0.000,0.007,0.003,0.007,0.003,0.003,0.044,0.027,0.013,0.003,0.001,0.002,0.023,0.004,0.017,0.004,0.023,0.038,0.165,0.001,0.002,0.003,0.004,0.067,0.007,0.012,0.003,0.015,0.054,0.050,0.009,0.013,0.082,0.010,0.016,0.011,0.017,0.026,0.009,0.005,0.006,0.023,0.002,0.008,0.023,0.006,0.000,0.023,0.010
Edward Leigh,Conservative,0,0.034,0.016,0.006,0.002,0.013,0.008,0.003,0.005,0.007,0.019,0.014,0.009,0.018,0.002,0.007,0.019,0.007,0.008,0.025,0.006,0.023,0.012,0.009,0.004,0.003,0.014,0.009,0.018,0.009,0.008,0.017,0.085,0.039,0.009,0.017,0.014,0.013,0.013,0.032,0.017,0.026,0.032,0.001,0.012,0.024,0.018,0.010,0.027,0.016,0.003,0.074,0.024
Oliver Letwin,Conservative,0,0.017,0.009,0.025,0.000,0.008,0.010,0.008,0.001,0.016,0.027,0.030,0.006,0.019,0.001,0.009,0.037,0.006,0.013,0.003,0.002,0.030,0.006,0.013,0.001,0.008,0.017,0.006,0.016,0.004,0.005,0.013,0.157,0.067,0.006,0.012,0.023,0.013,0.006,0.024,0.005,0.023,0.021,0.003,0.004,0.033,0.002,0.031,0.025,0.005,0.001,0.081,0.005
Julian Lewis,Conservative,0,0.001,0.013,0.015,0.002,0.007,0.004,0.005,0.008,0.009,0.016,0.040,0.003,0.022,0.003,0.001,0.010,0.004,0.010,0.092,0.008,0.024,0.022,0.001,0.002,0.001,0.004,0.022,0.028,0.006,0.012,0.014,0.034,0.013,0.003,0.028,0.007,0.003,0.005,0.029,0.009,0.010,0.005,0.001,0.013,0.004,0.109,0.006,0.023,0.003,0.020,0.090,0.008
David Lidington,Conservative,0,0.012,0.015,0.015,0.000,0.004,0.004,0.009,0.003,0.010,0.038,0.015,0.011,0.023,0.003,0.005,0.031,0.004,0.001,0.043,0.011,0.019,0.011,0.007,0.002,0.007,0.005,0.044,0.040,0.016,0.006,0.014,0.077,0.045,0.006,0.018,0.029,0.007,0.011,0.149,0.020,0.010,0.006,0.003,0.007,0.013,0.011,0.004,0.020,0.004,0.002,0.028,0.005
Peter Lilley,Conservative,0,0.012,0.027,0.006,0.000,0.055,0.028,0.009,0.003,0.002,0.028,0.016,0.005,0.008,0.002,0.003,0.013,0.003,0.010,0.006,0.004,0.012,0.020,0.001,0.001,0.005,0.063,0.007,0.007,0.011,0.004,0.019,0.064,0.015,0.006,0.005,0.013,0.025,0.038,0.045,0.007,0.052,0.080,0.001,0.003,0.053,0.003,0.026,0.012,0.016,0.001,0.035,0.017
Peter Lloyd,Conservative,0,0.004,0.020,0.008,0.000,0.025,0.002,0.023,0.011,0.032,0.044,0.009,0.019,0.030,0.001,0.006,0.050,0.006,0.016,0.002,0.013,0.030,0.003,0.001,0.002,0.001,0.007,0.006,0.018,0.011,0.007,0.014,0.110,0.043,0.008,0.021,0.042,0.004,0.008,0.025,0.005,0.019,0.020,0.001,0.011,0.010,0.007,0.005,0.007,0.038,0.000,0.049,0.006
Michael Lord,Conservative,0,0.004,0.003,0.002,0.001,0.004,0.001,0.006,0.003,0.006,0.020,0.013,0.010,0.011,0.001,0.004,0.291,0.004,0.006,0.003,0.002,0.187,0.009,0.015,0.002,0.003,0.004,0.006,0.005,0.007,0.008,0.011,0.015,0.013,0.003,0.008,0.011,0.015,0.002,0.019,0.008,0.003,0.002,0.000,0.009,0.003,0.002,0.002,0.026,0.008,0.001,0.090,0.004
Tim Loughton,Conservative,0,0.008,0.005,0.005,0.000,0.013,0.006,0.006,0.004,0.015,0.008,0.022,0.015,0.023,0.002,0.003,0.020,0.004,0.023,0.009,0.028,0.009,0.043,0.002,0.003,0.002,0.018,0.012,0.003,0.010,0.012,0.023,0.043,0.066,0.013,0.009,0.038,0.012,0.013,0.011,0.033,0.024,0.018,0.030,0.017,0.011,0.002,0.009,0.007,0.009,0.001,0.028,0.115
Peter Luff,Conservative,0,0.026,0.006,0.003,0.001,0.012,0.010,0.005,0.007,0.006,0.016,0.027,0.022,0.005,0.008,0.004,0.015,0.004,0.004,0.010,0.010,0.019,0.017,0.020,0.001,0.005,0.011,0.017,0.007,0.025,0.009,0.007,0.047,0.062,0.025,0.008,0.021,0.032,0.009,0.031,0.028,0.023,0.021,0.002,0.019,0.029,0.042,0.017,0.015,0.013,0.001,0.076,0.011
Nicholas Lyell,Conservative,0,0.007,0.003,0.007,0.000,0.025,0.004,0.015,0.004,0.015,0.040,0.011,0.007,0.109,0.001,0.003,0.048,0.004,0.005,0.003,0.010,0.042,0.009,0.004,0.033,0.001,0.010,0.010,0.010,0.015,0.010,0.034,0.139,0.039,0.005,0.005,0.029,0.009,0.011,0.009,0.010,0.019,0.018,0.002,0.006,0.008,0.013,0.001,0.023,0.011,0.001,0.048,0.016
John MacGregor,Conservative,0,0.022,0.001,0.001,0.000,0.013,0.011,0.010,0.003,0.002,0.065,0.007,0.018,0.001,0.009,0.009,0.027,0.004,0.003,0.002,0.006,0.066,0.004,0.025,0.001,0.002,0.054,0.050,0.004,0.038,0.003,0.008,0.025,0.049,0.011,0.005,0.030,0.032,0.008,0.026,0.021,0.048,0.046,0.000,0.002,0.058,0.004,0.015,0.014,0.020,0.001,0.033,0.002
Andrew MacKay,Conservative,0,0.003,0.004,0.007,0.000,0.021,0.004,0.006,0.002,0.017,0.034,0.060,0.008,0.013,0.002,0.001,0.013,0.004,0.004,0.034,0.002,0.021,0.010,0.001,0.002,0.002,0.003,0.054,0.178,0.021,0.005,0.006,0.032,0.059,0.015,0.017,0.005,0.004,0.004,0.011,0.005,0.006,0.018,0.001,0.006,0.004,0.011,0.008,0.022,0.012,0.002,0.087,0.008
David Maclean,Conservative,0,0.005,0.005,0.017,0.000,0.011,0.003,0.012,0.004,0.056,0.022,0.015,0.019,0.076,0.003,0.004,0.053,0.004,0.015,0.005,0.010,0.021,0.005,0.025,0.003,0.005,0.007,0.007,0.009,0.015,0.021,0.021,0.075,0.058,0.008,0.009,0.032,0.028,0.003,0.014,0.007,0.026,0.012,0.001,0.007,0.007,0.006,0.005,0.015,0.013,0.002,0.042,0.006
Patrick McLoughlin,Conservative,0,0.008,0.003,0.003,0.000,0.004,0.003,0.009,0.003,0.004,0.066,0.031,0.038,0.005,0.072,0.005,0.032,0.003,0.001,0.003,0.005,0.026,0.005,0.012,0.001,0.003,0.009,0.037,0.003,0.070,0.006,0.011,0.025,0.039,0.017,0.005,0.026,0.016,0.010,0.009,0.022,0.029,0.011,0.001,0.004,0.037,0.005,0.004,0.019,0.015,0.001,0.035,0.007
David Madel,Conservative,0,0.007,0.004,0.001,0.001,0.008,0.010,0.007,0.002,0.004,0.020,0.028,0.038,0.002,0.033,0.004,0.033,0.002,0.002,0.019,0.007,0.017,0.004,0.002,0.001,0.000,0.005,0.019,0.006,0.050,0.008,0.010,0.028,0.035,0.014,0.011,0.019,0.019,0.032,0.024,0.101,0.016,0.034,0.004,0.002,0.035,0.009,0.018,0.006,0.089,0.001,0.020,0.008
John Major,Conservative,0,0.006,0.003,0.002,0.000,0.023,0.016,0.004,0.001,0.003,0.168,0.018,0.010,0.005,0.001,0.006,0.011,0.004,0.002,0.030,0.004,0.026,0.017,0.004,0.000,0.003,0.010,0.017,0.045,0.006,0.004,0.007,0.027,0.008,0.002,0.006,0.019,0.008,0.011,0.114,0.012,0.038,0.060,0.001,0.004,0.050,0.016,0.035,0.016,0.011,0.002,0.045,0.005
Humfrey Malins,Conservative,0,0.002,0.059,0.020,0.000,0.021,0.000,0.028,0.003,0.055,0.009,0.022,0.013,0.120,0.006,0.000,0.057,0.003,0.036,0.007,0.005,0.028,0.004,0.002,0.017,0.002,0.003,0.005,0.001,0.011,0.007,0.007,0.070,0.066,0.005,0.006,0.012,0.001,0.008,0.004,0.018,0.011,0.007,0.003,0.018,0.002,0.002,0.001,0.008,0.009,0.001,0.053,0.020
John Maples,Conservative,0,0.007,0.004,0.004,0.000,0.017,0.037,0.004,0.001,0.005,0.016,0.026,0.016,0.017,0.003,0.004,0.012,0.004,0.004,0.051,0.003,0.009,0.030,0.002,0.001,0.001,0.017,0.009,0.011,0.013,0.009,0.012,0.053,0.007,0.004,0.013,0.010,0.008,0.004,0.076,0.026,0.057,0.063,0.001,0.004,0.044,0.064,0.020,0.022,0.016,0.002,0.039,0.008
Michael Mates,Conservative,0,0.008,0.009,0.020,0.001,0.015,0.003,0.005,0.002,0.011,0.041,0.034,0.009,0.019,0.001,0.001,0.017,0.006,0.004,0.021,0.003,0.026,0.018,0.002,0.001,0.000,0.006,0.025,0.069,0.007,0.010,0.020,0.047,0.041,0.008,0.011,0.010,0.001,0.006,0.010,0.003,0.020,0.024,0.000,0.002,0.009,0.156,0.004,0.011,0.014,0.008,0.097,0.005
Francis Maude,Conservative,0,0.029,0.005,0.004,0.001,0.009,0.013,0.007,0.004,0.003,0.037,0.018,0.006,0.006,0.004,0.004,0.015,0.004,0.002,0.024,0.005,0.018,0.009,0.002,0.002,0.002,0.019,0.012,0.021,0.009,0.002,0.020,0.059,0.033,0.004,0.008,0.061,0.018,0.008,0.100,0.012,0.040,0.030,0.002,0.012,0.048,0.012,0.035,0.017,0.029,0.001,0.049,0.002
Brian Mawhinney,Conservative,0,0.002,0.007,0.023,0.001,0.005,0.001,0.005,0.002,0.015,0.063,0.026,0.010,0.016,0.015,0.001,0.031,0.004,0.010,0.010,0.007,0.032,0.047,0.002,0.002,0.001,0.005,0.014,0.096,0.021,0.005,0.011,0.066,0.039,0.011,0.014,0.044,0.002,0.004,0.012,0.035,0.031,0.011,0.001,0.005,0.018,0.009,0.005,0.014,0.010,0.001,0.070,0.009
Piers Merchant,Conservative,0,0.007,0.007,0.005,0.000,0.029,0.006,0.002,0.009,0.028,0.016,0.008,0.025,0.011,0.007,0.002,0.011,0.002,0.020,0.004,0.012,0.012,0.043,0.001,0.002,0.002,0.008,0.002,0.011,0.052,0.021,0.016,0.135,0.029,0.020,0.005,0.045,0.022,0.012,0.010,0.035,0.015,0.016,0.001,0.013,0.030,0.008,0.005,0.004,0.027,0.001,0.036,0.010
Malcolm Moss,Conservative,0,0.008,0.004,0.001,0.000,0.013,0.002,0.014,0.008,0.013,0.007,0.023,0.036,0.005,0.006,0.002,0.065,0.004,0.006,0.006,0.013,0.015,0.029,0.019,0.002,0.002,0.035,0.010,0.049,0.046,0.011,0.019,0.055,0.060,0.025,0.003,0.037,0.053,0.006,0.023,0.009,0.043,0.012,0.001,0.020,0.022,0.004,0.002,0.005,0.012,0.001,0.017,0.004
Patrick Nicholls,Conservative,0,0.004,0.010,0.001,0.000,0.017,0.006,0.009,0.002,0.004,0.052,0.025,0.015,0.014,0.002,0.003,0.021,0.004,0.008,0.005,0.005,0.033,0.011,0.008,0.004,0.001,0.018,0.009,0.013,0.012,0.013,0.012,0.083,0.019,0.007,0.009,0.016,0.007,0.033,0.027,0.021,0.025,0.068,0.001,0.010,0.009,0.005,0.005,0.017,0.037,0.002,0.123,0.013
Archie Norman,Conservative,0,0.051,0.011,0.001,0.000,0.027,0.008,0.008,0.001,0.014,0.009,0.027,0.010,0.005,0.003,0.001,0.002,0.001,0.023,0.003,0.009,0.007,0.067,0.030,0.000,0.003,0.009,0.017,0.010,0.053,0.012,0.010,0.045,0.007,0.056,0.007,0.019,0.008,0.006,0.035,0.030,0.039,0.029,0.007,0.009,0.053,0.001,0.023,0.025,0.019,0.000,0.034,0.012
Richard Ottaway,Conservative,0,0.015,0.006,0.005,0.002,0.010,0.012,0.005,0.005,0.011,0.012,0.025,0.012,0.020,0.009,0.004,0.017,0.004,0.009,0.069,0.004,0.010,0.005,0.003,0.004,0.012,0.006,0.011,0.017,0.041,0.008,0.011,0.047,0.033,0.010,0.016,0.011,0.025,0.007,0.048,0.007,0.029,0.023,0.002,0.009,0.039,0.030,0.017,0.015,0.018,0.001,0.039,0.011
Richard Page,Conservative,0,0.066,0.003,0.002,0.000,0.015,0.031,0.007,0.007,0.004,0.019,0.022,0.005,0.004,0.005,0.003,0.023,0.005,0.008,0.005,0.009,0.021,0.009,0.003,0.001,0.001,0.024,0.007,0.005,0.028,0.010,0.020,0.048,0.042,0.008,0.003,0.024,0.060,0.012,0.025,0.009,0.037,0.023,0.002,0.012,0.048,0.009,0.013,0.004,0.044,0.002,0.062,0.004
James Paice,Conservative,0,0.016,0.004,0.010,0.000,0.010,0.004,0.009,0.001,0.033,0.036,0.021,0.021,0.009,0.002,0.006,0.031,0.004,0.006,0.004,0.009,0.024,0.003,0.072,0.001,0.009,0.013,0.010,0.004,0.015,0.020,0.006,0.059,0.072,0.013,0.004,0.027,0.040,0.019,0.029,0.027,0.035,0.017,0.001,0.007,0.015,0.005,0.006,0.006,0.023,0.001,0.050,0.006
Owen Paterson,Conservative,0,0.017,0.005,0.009,0.000,0.005,0.005,0.005,0.002,0.018,0.039,0.036,0.013,0.011,0.005,0.004,0.013,0.023,0.008,0.006,0.005,0.010,0.009,0.046,0.002,0.007,0.023,0.022,0.056,0.020,0.037,0.016,0.025,0.021,0.019,0.009,0.024,0.030,0.005,0.025,0.006,0.045,0.010,0.002,0.008,0.026,0.010,0.012,0.009,0.014,0.001,0.028,0.003
Eric Pickles,Conservative,0,0.016,0.006,0.003,0.000,0.039,0.005,0.008,0.003,0.008,0.042,0.029,0.118,0.007,0.007,0.002,0.010,0.004,0.002,0.004,0.004,0.013,0.010,0.011,0.001,0.003,0.007,0.010,0.006,0.034,0.008,0.016,0.030,0.040,0.037,0.017,0.036,0.006,0.020,0.005,0.006,0.042,0.046,0.006,0.010,0.020,0.002,0.010,0.013,0.010,0.000,0.049,0.018
David Prior,Conservative,0,0.031,0.002,0.001,0.000,0.015,0.022,0.006,0.001,0.017,0.006,0.008,0.026,0.004,0.002,0.005,0.014,0.003,0.006,0.004,0.007,0.002,0.074,0.053,0.000,0.003,0.017,0.004,0.005,0.044,0.016,0.002,0.021,0.009,0.073,0.004,0.018,0.043,0.011,0.036,0.025,0.016,0.036,0.002,0.026,0.038,0.001,0.013,0.003,0.033,0.001,0.019,0.012
John Redwood,Conservative,0,0.031,0.004,0.003,0.000,0.017,0.054,0.003,0.002,0.003,0.023,0.024,0.018,0.004,0.005,0.010,0.010,0.012,0.002,0.004,0.002,0.015,0.013,0.002,0.001,0.001,0.020,0.006,0.008,0.021,0.005,0.010,0.056,0.040,0.008,0.021,0.015,0.029,0.011,0.061,0.012,0.031,0.054,0.000,0.004,0.076,0.003,0.044,0.019,0.028,0.001,0.047,0.002
Andrew Robathan,Conservative,0,0.005,0.010,0.004,0.001,0.011,0.003,0.004,0.006,0.019,0.029,0.036,0.007,0.011,0.005,0.004,0.009,0.006,0.007,0.048,0.009,0.014,0.012,0.010,0.002,0.006,0.007,0.013,0.051,0.011,0.016,0.011,0.030,0.030,0.006,0.026,0.013,0.016,0.012,0.014,0.016,0.014,0.012,0.001,0.018,0.006,0.106,0.004,0.018,0.011,0.004,0.086,0.013
Laurence Robertson,Conservative,0,0.006,0.006,0.002,0.000,0.028,0.010,0.011,0.004,0.027,0.013,0.039,0.012,0.014,0.002,0.012,0.013,0.012,0.014,0.006,0.013,0.032,0.011,0.020,0.002,0.004,0.010,0.015,0.096,0.021,0.010,0.006,0.028,0.057,0.014,0.017,0.009,0.024,0.012,0.014,0.036,0.017,0.017,0.004,0.020,0.008,0.004,0.005,0.015,0.019,0.000,0.059,0.008
Andrew Rowe,Conservative,0,0.010,0.018,0.001,0.002,0.036,0.007,0.005,0.004,0.012,0.028,0.012,0.010,0.005,0.013,0.006,0.003,0.005,0.009,0.009,0.007,0.014,0.038,0.005,0.003,0.003,0.008,0.008,0.009,0.042,0.011,0.009,0.055,0.016,0.011,0.007,0.038,0.010,0.050,0.039,0.058,0.011,0.020,0.002,0.022,0.015,0.008,0.004,0.017,0.029,0.001,0.058,0.044
David Ruffley,Conservative,0,0.025,0.005,0.018,0.000,0.012,0.014,0.007,0.001,0.047,0.012,0.025,0.048,0.015,0.002,0.004,0.022,0.002,0.003,0.007,0.007,0.024,0.009,0.004,0.006,0.001,0.019,0.010,0.005,0.011,0.002,0.014,0.059,0.040,0.007,0.010,0.012,0.006,0.032,0.015,0.010,0.069,0.086,0.008,0.002,0.034,0.006,0.051,0.012,0.013,0.001,0.040,0.007
Nick St Aubyn,Conservative,0,0.021,0.006,0.001,0.000,0.021,0.028,0.004,0.001,0.006,0.007,0.032,0.025,0.004,0.005,0.006,0.018,0.004,0.004,0.002,0.008,0.023,0.021,0.001,0.002,0.000,0.032,0.010,0.005,0.025,0.004,0.010,0.044,0.060,0.005,0.006,0.012,0.010,0.018,0.015,0.117,0.047,0.045,0.003,0.009,0.050,0.004,0.021,0.016,0.017,0.000,0.039,0.030
Jonathan Sayeed,Conservative,0,0.005,0.009,0.004,0.001,0.022,0.006,0.007,0.005,0.007,0.027,0.021,0.016,0.006,0.006,0.007,0.022,0.004,0.007,0.037,0.006,0.005,0.009,0.008,0.002,0.006,0.010,0.008,0.019,0.022,0.011,0.009,0.052,0.036,0.007,0.020,0.016,0.049,0.006,0.018,0.014,0.035,0.030,0.002,0.004,0.029,0.096,0.005,0.024,0.023,0.008,0.022,0.004
Richard Shepherd,Conservative,0,0.009,0.014,0.028,0.000,0.003,0.006,0.003,0.002,0.005,0.023,0.013,0.007,0.025,0.001,0.005,0.032,0.008,0.001,0.006,0.008,0.020,0.002,0.003,0.001,0.000,0.003,0.013,0.040,0.007,0.002,0.016,0.176,0.070,0.005,0.028,0.009,0.016,0.002,0.043,0.001,0.007,0.010,0.000,0.009,0.007,0.006,0.007,0.105,0.007,0.001,0.090,0.001
Michael Shersby,Conservative,0,0.016,0.011,0.005,0.000,0.035,0.006,0.011,0.007,0.061,0.039,0.023,0.029,0.035,0.017,0.004,0.031,0.007,0.017,0.005,0.005,0.024,0.026,0.010,0.004,0.001,0.015,0.013,0.004,0.046,0.012,0.023,0.045,0.032,0.007,0.007,0.020,0.019,0.007,0.016,0.017,0.036,0.018,0.001,0.007,0.009,0.009,0.003,0.008,0.021,0.006,0.033,0.009
Keith Simpson,Conservative,0,0.005,0.004,0.008,0.002,0.001,0.002,0.005,0.002,0.004,0.011,0.045,0.021,0.004,0.001,0.002,0.004,0.004,0.005,0.115,0.003,0.014,0.006,0.012,0.001,0.004,0.005,0.030,0.016,0.003,0.011,0.007,0.017,0.024,0.013,0.006,0.016,0.002,0.005,0.039,0.005,0.015,0.006,0.001,0.013,0.012,0.228,0.009,0.009,0.002,0.003,0.109,0.003
Nicholas Soames,Conservative,0,0.009,0.014,0.003,0.001,0.006,0.006,0.007,0.002,0.005,0.067,0.019,0.005,0.006,0.012,0.001,0.007,0.004,0.006,0.049,0.010,0.022,0.013,0.017,0.001,0.003,0.007,0.010,0.006,0.020,0.018,0.013,0.026,0.010,0.010,0.002,0.024,0.015,0.010,0.047,0.008,0.010,0.005,0.001,0.022,0.017,0.236,0.007,0.011,0.006,0.002,0.054,0.004
Michael Spicer,Conservative,0,0.008,0.003,0.002,0.000,0.020,0.018,0.012,0.004,0.002,0.034,0.015,0.012,0.003,0.035,0.005,0.035,0.005,0.004,0.002,0.007,0.043,0.018,0.005,0.001,0.001,0.010,0.012,0.006,0.017,0.006,0.010,0.080,0.034,0.010,0.003,0.019,0.077,0.004,0.057,0.002,0.033,0.029,0.001,0.002,0.056,0.006,0.029,0.012,0.018,0.001,0.048,0.002
